ID,tenure,Recency,monetary,frequency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Kidhome,Teenhome,Income,high_growth,predicted
5735,2963,29,2525,18,1156,120,915,94,144,96,1,3,4,10,1,0,0,90638.0,1,1
5350,2963,29,2525,18,1156,120,915,94,144,96,1,3,4,10,1,0,0,90638.0,1,1
10133,2964,16,2349,25,1302,68,731,89,114,45,0,6,7,12,2,0,0,93790.0,1,1
5386,3309,62,2302,18,1111,24,790,160,45,172,0,5,8,5,2,0,0,94384.0,1,1
6024,3309,62,2302,18,1111,24,790,160,45,172,0,5,8,5,2,0,0,94384.0,1,1
1173,3303,73,2252,13,1200,105,758,0,42,147,1,4,2,6,2,0,0,77632.0,1,1
737,3310,56,2231,15,1493,86,454,112,43,43,2,4,4,5,2,0,0,80360.0,1,1
3334,2964,35,2211,21,879,143,797,106,143,143,0,5,7,9,1,0,0,94642.0,1,1
5236,3500,30,2194,21,1230,0,396,232,178,158,1,10,2,8,5,0,1,77568.0,1,1
3698,3516,13,2130,19,817,185,687,145,55,241,1,4,6,8,2,0,0,78687.0,1,1
6421,3188,32,2116,21,1050,178,555,77,138,118,1,4,7,9,1,0,0,88347.0,1,1
3403,3470,11,2092,21,1170,19,594,99,76,134,2,2,5,12,6,0,1,78952.0,1,1
3690,3361,20,2091,22,1184,102,673,52,40,40,1,7,4,10,6,0,0,80141.0,1,1
6072,3339,16,2087,20,918,57,842,99,38,133,1,5,8,6,3,0,0,75345.0,1,1
7627,3391,25,2086,21,817,183,797,106,163,20,0,5,11,5,2,0,0,92163.0,1,1
1103,3465,60,2053,20,1486,55,278,49,0,185,2,4,4,10,6,1,0,81929.0,1,1
3139,3008,53,2052,19,871,111,704,145,55,166,1,4,4,10,2,0,0,74116.0,1,1
1772,3361,2,2043,19,1074,37,518,193,92,129,1,5,6,7,2,0,0,79174.0,1,1
4597,3189,67,2018,19,889,55,685,168,92,129,1,3,2,13,1,0,0,82072.0,1,1
2894,3070,74,2013,21,1067,138,750,0,19,39,1,7,5,8,4,0,0,72903.0,1,1
5848,2994,43,2009,19,724,74,929,97,55,130,1,5,6,7,2,0,0,81205.0,1,1
7451,2959,23,2008,19,1000,19,711,125,115,38,0,4,6,9,1,0,0,98777.0,1,1
4248,2959,23,2008,19,1000,19,711,125,115,38,0,4,6,9,1,0,0,98777.0,1,1
569,3024,32,1991,19,704,129,853,120,74,111,1,5,6,7,2,0,0,90273.0,1,1
10619,3400,29,1990,18,770,29,890,250,27,24,1,7,3,7,3,0,0,95529.0,1,1
9220,3355,58,1968,20,576,172,961,125,115,19,1,8,6,5,3,0,0,91700.0,1,1
10949,3022,8,1958,19,1092,37,592,145,37,55,1,5,5,8,3,0,0,72968.0,1,1
1127,2858,62,1958,20,938,19,843,25,95,38,1,6,6,7,2,0,0,85844.0,1,1
5536,3230,61,1957,20,1492,38,287,50,57,33,1,5,10,4,6,0,1,87771.0,1,1
3174,3230,61,1957,20,1492,38,287,50,57,33,1,5,10,4,6,0,1,87771.0,1,1
5955,3416,27,1932,16,833,33,549,151,133,233,1,4,3,8,3,0,0,72025.0,1,1
3919,3302,64,1931,20,960,0,883,50,38,0,1,5,6,8,3,0,0,72309.0,1,1
4278,3218,73,1923,19,910,111,724,49,74,55,1,10,2,6,3,0,0,87188.0,1,1
11071,3261,37,1923,16,450,133,951,173,0,216,1,3,6,6,1,0,0,79607.0,1,1
4543,3433,32,1919,19,777,129,573,216,21,203,1,2,7,9,4,0,0,82497.0,1,1
5547,3153,9,1919,20,1478,19,403,0,19,0,1,7,6,6,3,0,0,84169.0,1,1
8362,3153,9,1919,20,1478,19,403,0,19,0,1,7,6,6,3,0,0,84169.0,1,1
2611,3524,66,1910,19,1206,55,445,168,18,18,1,2,4,12,1,0,0,82576.0,1,1
8164,3043,13,1908,19,1023,93,651,49,55,37,1,5,6,7,2,0,0,82170.0,1,1
3711,2947,19,1902,20,1035,134,670,25,38,0,1,6,3,10,3,0,0,80184.0,1,1
7962,3090,1,1901,12,1285,21,449,106,20,20,1,4,3,4,1,0,0,95169.0,1,1
10909,2992,9,1899,20,992,24,694,51,19,119,0,5,10,5,1,0,0,92344.0,1,1
4702,3513,20,1895,17,1000,155,379,224,17,120,1,4,8,4,8,0,0,61839.0,1,1
1544,3381,51,1893,17,741,68,689,224,68,103,1,4,2,10,2,0,0,81380.0,1,1
1859,3498,34,1890,19,721,111,925,97,18,18,1,7,6,5,5,0,0,75251.0,1,1
5331,3483,8,1869,17,587,51,898,247,0,86,1,3,6,7,2,0,0,74985.0,1,1
1150,3103,36,1853,15,755,144,562,104,64,224,1,4,6,4,1,0,0,83532.0,1,1
5031,3472,14,1833,26,777,35,731,39,137,114,1,5,9,11,2,0,0,83145.0,1,1
3074,3449,66,1828,18,1218,107,304,23,143,33,1,5,8,4,6,0,0,70643.0,1,1
6292,3283,60,1822,18,1311,0,359,46,89,17,1,4,3,10,2,0,0,82333.0,1,1
7431,3423,40,1820,17,1332,17,311,23,51,86,1,7,4,5,9,0,0,68126.0,1,1
590,3381,35,1812,16,816,66,549,216,66,99,1,5,6,4,3,0,0,78579.0,1,1
9493,3247,15,1808,18,840,53,804,23,71,17,1,5,4,8,3,0,0,76412.0,1,1
380,3484,17,1804,29,1170,48,320,42,32,192,5,11,4,9,8,0,1,64497.0,1,1
1990,3428,74,1797,17,965,34,586,89,86,37,1,3,5,8,3,0,0,63159.0,1,1
2781,2833,55,1792,17,1003,34,536,134,51,34,1,4,6,6,2,0,0,72066.0,1,1
8545,2927,6,1789,17,1296,17,311,45,69,51,1,2,4,10,1,0,0,85683.0,1,1
7233,3477,4,1782,16,496,32,849,229,48,128,2,5,3,6,4,0,0,69209.0,1,1
8314,3277,30,1772,19,557,129,761,29,185,111,1,5,6,7,2,0,0,79908.0,1,1
3009,3182,8,1766,15,1462,16,128,0,0,160,1,5,3,6,6,0,0,71670.0,1,1
3667,3313,20,1757,25,778,178,689,41,27,44,1,8,5,11,8,0,0,80952.0,1,1
1891,3517,12,1754,16,667,50,850,21,83,83,1,4,6,5,2,0,0,78789.0,1,1
460,3517,72,1753,17,792,86,740,67,51,17,1,3,5,8,2,0,0,79930.0,1,1
1665,3106,71,1750,18,1459,0,61,0,15,215,5,2,5,6,5,0,2,64140.0,1,1
7999,3259,17,1743,17,1239,17,413,23,34,17,1,5,6,5,2,0,0,75261.0,1,1
8318,3004,7,1738,19,594,134,786,33,134,57,0,5,6,8,1,0,0,90300.0,1,1
1577,2957,14,1736,15,558,79,622,207,175,95,1,4,6,4,1,0,0,78569.0,1,1
4931,3253,13,1730,28,1,0,1725,2,1,1,0,0,28,0,1,0,0,157146.0,1,1
4943,3464,73,1727,16,1379,33,216,0,33,66,1,2,4,9,6,0,0,70503.0,1,1
10140,3101,27,1727,17,1308,0,396,23,0,0,1,5,7,4,3,0,0,70123.0,1,1
1592,2983,25,1724,15,547,99,812,151,82,33,0,4,6,5,1,0,0,90765.0,1,1
9242,3143,19,1722,19,836,185,575,24,25,77,1,6,3,9,4,0,0,64509.0,1,1
8278,3499,3,1711,16,863,83,547,86,99,33,1,8,2,5,5,0,0,74214.0,1,1
9260,3428,20,1706,27,1349,16,249,43,16,33,2,10,6,9,6,0,0,70356.0,1,1
5113,3061,67,1702,16,584,100,835,65,83,35,1,5,5,5,2,0,0,86979.0,1,1
4114,3514,2,1693,29,650,37,780,27,167,32,1,6,9,13,3,0,0,79143.0,1,1
10164,2914,75,1691,16,1017,33,417,108,100,16,1,5,5,5,5,0,1,94472.0,0,1
2176,3232,40,1690,16,1218,16,272,104,0,80,2,5,3,6,6,1,0,80134.0,1,1
9121,3232,40,1690,16,1218,16,272,104,0,80,2,5,3,6,6,1,0,80134.0,1,1
3725,3243,1,1688,16,1248,16,349,43,16,16,1,2,4,9,4,0,0,84865.0,1,1
7899,3435,70,1680,17,1245,33,332,21,33,16,2,4,7,4,7,0,1,77610.0,1,1
8720,3513,53,1679,1,32,2,1607,12,4,22,0,0,0,1,0,0,0,52247.0,1,1
9560,3310,18,1674,22,856,61,570,40,25,122,1,7,6,8,3,0,0,83003.0,1,1
6184,3391,6,1670,15,561,64,785,84,128,48,1,3,3,8,1,0,0,68462.0,1,1
830,2952,5,1658,15,784,48,560,42,176,48,1,4,6,4,3,0,0,74004.0,1,1
3005,2886,7,1650,23,530,117,678,134,44,147,1,4,10,8,1,0,0,83528.0,1,1
1650,3260,13,1643,27,779,86,537,34,69,138,1,5,9,12,3,0,0,81843.0,1,1
9264,2890,1,1638,22,423,42,706,73,197,197,1,4,8,9,2,0,0,79529.0,1,1
2379,3472,31,1635,14,778,44,499,95,73,146,2,3,4,5,7,0,0,69267.0,1,1
9529,3040,8,1627,22,559,153,503,218,13,181,1,3,9,9,2,0,0,73687.0,1,1
10469,2971,42,1623,18,519,71,860,93,27,53,1,6,2,9,2,0,0,88325.0,1,1
8029,2888,27,1621,15,1184,32,352,21,16,16,1,3,4,7,1,0,0,90247.0,1,1
2225,2849,54,1617,21,510,120,550,156,40,241,1,4,9,7,1,0,0,82582.0,1,1
6543,3357,45,1612,14,521,168,706,80,76,61,1,3,6,4,2,0,0,62847.0,1,1
1964,3124,66,1603,18,446,107,768,33,196,53,1,5,6,6,2,0,0,86610.0,1,1
10955,3000,68,1600,14,416,46,925,60,107,46,1,3,6,4,1,0,0,85620.0,1,1
5341,3367,2,1588,14,983,76,184,180,138,27,1,6,3,4,7,0,1,81975.0,1,1
1619,2889,2,1588,17,292,51,981,224,23,17,1,4,6,6,1,0,0,90369.0,1,1
8923,3264,12,1587,21,514,22,732,42,198,79,1,6,7,7,3,0,0,83917.0,1,1
6982,3294,14,1581,24,783,30,537,140,76,15,1,4,10,9,2,0,0,74068.0,1,1
3507,3508,44,1575,14,676,161,426,210,44,58,2,2,5,5,6,1,0,76467.0,1,1
4356,3132,70,1574,14,1224,28,140,0,14,168,3,3,3,5,6,0,1,71819.0,1,1
241,3240,57,1574,20,901,31,345,75,31,191,1,4,4,11,1,0,0,83844.0,1,1
7521,3240,57,1574,20,901,31,345,75,31,191,1,4,4,11,1,0,0,83844.0,1,1
9595,3361,1,1574,14,539,169,816,20,0,30,1,4,5,4,3,0,0,64260.0,1,1
3560,3240,57,1574,20,901,31,345,75,31,191,1,4,4,11,1,0,0,83844.0,1,1
2407,3424,10,1555,20,823,25,459,124,29,95,1,6,6,7,4,0,0,69109.0,1,1
9064,3424,10,1555,20,823,25,459,124,29,95,1,6,6,7,4,0,0,69109.0,1,1
9606,3133,64,1536,13,882,29,514,38,29,44,1,4,2,6,3,0,0,69969.0,1,1
6343,2917,6,1518,23,835,73,380,114,73,43,1,6,9,7,2,0,1,79823.0,1,1
1399,2986,52,1515,20,407,114,445,181,165,203,1,3,7,9,1,0,0,72905.0,1,1
10479,3396,64,1511,11,749,40,294,121,160,147,1,3,2,5,1,0,0,76618.0,1,1
1915,3026,57,1507,20,794,115,243,150,0,205,1,8,5,6,3,0,0,78939.0,1,1
10513,3352,68,1502,12,438,169,565,91,169,70,1,2,3,6,7,0,0,63207.0,1,1
1225,2830,47,1495,19,483,84,398,205,84,241,1,3,7,8,1,0,0,80124.0,1,1
7059,2830,47,1495,19,483,84,398,205,84,241,1,3,7,8,1,0,0,80124.0,1,1
7030,3283,1,1485,35,1200,0,204,38,29,14,3,11,9,12,6,0,1,66465.0,1,1
1685,3296,21,1482,23,796,14,590,38,44,0,1,4,5,13,3,0,0,62981.0,1,1
10102,2875,19,1478,22,395,183,565,166,141,28,1,5,11,5,3,0,0,79946.0,1,1
10430,3090,22,1472,14,1126,28,211,37,28,42,3,4,3,4,5,1,1,89694.0,1,1
5204,3192,21,1461,22,380,98,733,110,112,28,1,8,8,5,3,0,0,74538.0,1,1
10129,2936,35,1456,21,482,147,509,104,107,107,1,3,5,12,1,0,0,82427.0,1,1
6384,2965,30,1453,21,909,12,278,0,12,242,3,5,2,11,8,0,1,71022.0,1,1
10150,3047,10,1449,18,464,28,873,29,18,37,0,7,4,7,2,0,0,86429.0,1,1
5140,3501,66,1445,21,1047,0,140,67,38,153,2,4,3,12,8,1,0,64355.0,1,1
9463,3420,16,1443,25,931,56,253,91,98,14,4,9,5,7,5,0,1,71706.0,1,1
7381,3397,10,1442,22,797,153,293,72,97,30,1,11,4,6,4,0,0,75693.0,1,1
2963,2885,56,1440,21,709,93,374,104,80,80,1,8,6,6,3,0,0,75507.0,1,1
7723,2885,56,1440,21,709,93,374,104,80,80,1,8,6,6,3,0,0,75507.0,1,1
7366,3187,12,1438,21,712,26,538,69,13,80,1,3,6,11,1,0,0,75777.0,1,1
6853,3187,12,1438,21,712,26,538,69,13,80,1,3,6,11,1,0,0,75777.0,1,1
1361,3217,26,1435,16,1076,68,103,29,91,68,1,3,4,8,1,0,0,82584.0,1,1
3661,3452,42,1435,19,594,51,631,72,55,32,1,4,6,8,2,0,0,80617.0,1,1
8537,3314,60,1429,21,526,80,553,123,94,53,1,3,10,7,2,0,0,72643.0,1,1
4310,2985,25,1428,21,507,93,520,242,40,26,1,5,10,5,1,0,0,80589.0,1,1
5302,3326,13,1428,16,298,27,697,216,24,166,1,4,6,5,2,0,0,78394.0,1,1
6406,3071,13,1427,21,647,107,391,175,67,40,1,6,4,10,3,0,0,78285.0,1,1
10673,3051,6,1416,21,760,80,466,17,13,80,1,6,9,5,3,0,1,68397.0,1,1
7022,3466,2,1410,21,739,107,309,140,80,35,1,2,5,13,6,1,0,76445.0,1,1
8707,3503,12,1401,16,565,42,548,64,83,99,1,5,6,4,3,0,0,79456.0,1,1
1168,3435,62,1401,21,322,53,899,34,40,53,1,4,6,10,2,0,0,72159.0,1,1
1945,3111,4,1400,21,711,36,217,172,96,168,3,7,4,7,4,0,1,71434.0,1,1
8601,3253,3,1395,21,421,76,536,82,178,102,2,8,6,5,4,0,1,80011.0,1,1
9265,3363,74,1390,21,925,64,179,133,12,77,2,9,4,6,5,0,1,75027.0,1,1
9400,2835,73,1383,19,630,26,611,44,18,54,1,6,6,6,2,0,0,85485.0,1,1
10240,3322,10,1381,21,997,26,269,34,13,42,1,10,4,6,4,0,0,69372.0,1,1
5067,2962,11,1378,21,966,26,282,52,26,26,1,2,7,11,5,0,0,80134.0,1,1
1729,3097,14,1377,20,1043,24,97,32,24,157,2,3,5,10,6,0,1,66426.0,1,1
3422,3404,67,1376,10,1115,12,128,33,12,76,1,2,3,4,6,0,1,76068.0,1,1
4331,2984,41,1371,21,913,26,376,17,26,13,1,3,6,11,1,0,0,85738.0,1,1
7959,2858,19,1370,11,658,80,483,123,13,13,1,3,2,5,1,0,0,79410.0,1,1
7428,3099,47,1367,19,240,132,445,250,192,108,1,3,7,8,1,0,0,80144.0,1,1
1020,2875,70,1366,19,350,60,568,110,133,145,1,5,6,7,2,0,0,79593.0,1,1
8504,2875,70,1366,19,350,60,568,110,133,145,1,5,6,7,2,0,0,79593.0,1,1
1911,3489,6,1364,29,595,97,291,127,133,121,1,11,5,12,6,0,0,67430.0,1,1
7010,2910,41,1363,20,635,114,254,132,152,76,1,6,6,7,3,0,0,70924.0,1,1
4767,2910,41,1363,20,635,114,254,132,152,76,1,6,6,7,3,0,0,70924.0,1,1
4149,2874,57,1348,21,586,66,653,17,0,26,1,5,9,6,2,0,0,76140.0,1,1
10767,2871,40,1346,21,760,40,480,0,40,26,1,3,5,12,1,0,0,77845.0,1,1
10343,3465,27,1345,19,605,91,399,0,45,205,2,3,6,8,3,0,0,61618.0,1,1
10870,3208,46,1341,18,709,43,182,42,118,247,2,9,3,4,5,0,1,61223.0,1,1
5564,3516,26,1338,20,509,133,497,78,24,97,2,7,5,6,4,0,1,62882.0,1,1
2429,3327,4,1338,20,531,69,300,150,138,150,3,5,4,8,2,0,1,72071.0,1,1
10177,3327,4,1338,20,531,69,300,150,138,150,3,5,4,8,2,0,1,72071.0,1,1
1867,3420,42,1336,19,652,48,350,94,84,108,1,9,3,6,5,0,0,64849.0,1,1
3434,2875,60,1336,19,483,72,567,94,12,108,1,4,4,10,1,0,0,80872.0,1,1
7072,3284,69,1335,19,432,79,341,177,136,170,2,8,5,4,4,0,1,67432.0,1,1
2565,3220,69,1334,20,1016,12,215,16,12,63,1,4,5,10,3,0,0,70638.0,1,1
9790,3045,12,1334,19,912,72,170,47,36,97,1,11,3,4,4,0,0,78499.0,1,1
10163,3119,28,1323,20,712,50,420,65,38,38,1,8,4,7,4,0,0,82733.0,1,1
6349,3185,71,1319,19,621,73,414,78,48,85,1,8,4,6,5,0,0,61787.0,1,1
4261,3409,23,1315,26,1006,22,115,59,68,45,1,7,6,12,3,0,0,82800.0,1,1
2114,3409,23,1315,26,1006,22,115,59,68,45,1,7,6,12,3,0,0,82800.0,1,1
10424,3029,60,1295,18,265,138,553,224,23,92,1,4,4,9,1,0,0,75922.0,1,1
10095,3251,9,1293,20,1001,12,240,16,12,12,1,5,4,10,2,0,0,74165.0,1,1
4322,3041,20,1291,20,881,38,319,16,25,12,1,4,5,10,2,0,0,77863.0,1,1
10319,3315,56,1286,22,1090,12,96,16,12,60,4,3,4,11,8,0,1,66303.0,0,1
7214,3186,49,1283,18,792,0,275,45,45,126,1,4,8,5,3,0,0,62187.0,1,1
1631,3491,3,1282,23,890,63,292,0,25,12,4,8,4,7,6,0,0,65220.0,1,1
2930,3022,7,1281,20,852,60,207,78,36,48,2,2,6,10,5,0,0,68092.0,1,1
2181,3198,45,1280,14,353,61,753,40,46,27,1,3,3,7,2,0,0,70617.0,1,1
9369,2929,19,1274,32,688,14,309,201,24,38,1,11,10,10,5,0,1,88194.0,1,1
6422,3355,20,1270,17,344,189,482,50,33,172,1,5,6,5,2,0,0,86718.0,1,1
5832,2897,32,1263,21,493,183,352,184,23,28,0,3,5,13,0,0,0,92556.0,1,1
5080,3078,12,1258,17,420,0,452,182,64,140,1,6,6,4,2,0,0,70515.0,1,1
1402,3483,1,1253,21,496,36,460,189,60,12,3,4,8,6,3,0,0,66991.0,1,1
4654,3061,40,1253,19,571,12,523,63,60,24,1,3,10,5,2,0,0,75114.0,1,1
3202,3463,60,1250,19,1166,0,48,0,0,36,1,4,4,10,8,0,0,51563.0,1,1
1232,3074,54,1244,17,587,54,348,71,54,130,1,4,4,8,2,0,0,70038.0,1,1
2345,3074,54,1244,17,587,54,348,71,54,130,1,4,4,8,2,0,0,70038.0,1,1
7106,2917,73,1242,19,483,0,591,156,0,12,1,3,5,10,1,0,0,75865.0,1,1
4673,3434,17,1241,21,1004,12,145,32,12,36,3,10,3,5,5,0,1,81300.0,1,1
10156,3218,56,1237,20,215,63,507,231,31,190,1,8,4,7,3,0,1,84196.0,1,1
202,2912,54,1234,17,332,194,377,149,125,57,0,4,6,7,1,0,0,82032.0,1,1
9589,2912,54,1234,17,332,194,377,149,125,57,0,4,6,7,1,0,0,82032.0,1,1
1829,3353,55,1232,21,1148,0,60,0,0,24,3,9,5,4,7,0,1,54959.0,1,1
2730,3140,64,1231,18,536,11,387,149,91,57,1,3,4,10,1,0,0,80317.0,1,1
2574,3341,27,1230,21,1050,12,144,0,0,24,3,6,4,8,5,0,1,61996.0,1,1
4483,3265,67,1228,19,315,26,473,220,12,182,1,2,10,6,1,0,0,72354.0,1,1
1446,2912,12,1226,28,387,68,569,89,45,68,1,6,9,12,1,0,0,86424.0,1,1
257,3254,74,1215,20,952,12,180,47,12,12,2,5,4,9,3,0,1,75032.0,1,1
4073,2978,0,1215,28,769,80,252,15,34,65,1,10,10,7,6,0,0,63564.0,1,1
6721,3162,21,1213,17,572,19,286,50,38,248,3,6,3,5,3,0,1,71965.0,1,1
2079,3011,0,1208,22,450,26,535,73,98,26,1,5,6,10,1,0,0,81044.0,1,1
10981,2974,27,1198,18,434,137,400,45,137,45,1,3,4,10,1,0,0,84219.0,1,1
0,3248,66,1198,17,239,10,554,254,87,54,1,3,4,9,1,0,0,70951.0,1,1
7101,3347,24,1198,31,953,0,71,0,0,174,6,10,5,10,8,0,1,52278.0,1,1
9760,3347,24,1198,31,953,0,71,0,0,174,6,10,5,10,8,0,1,52278.0,1,1
486,2974,27,1198,18,434,137,400,45,137,45,1,3,4,10,1,0,0,84219.0,1,1
8755,3321,4,1196,18,482,34,471,119,68,22,1,3,5,9,7,0,0,68657.0,1,1
158,3051,3,1196,17,345,53,528,98,75,97,1,8,3,5,4,0,0,71604.0,1,1
7348,2931,0,1192,17,336,130,411,240,32,43,1,4,7,5,2,0,0,71691.0,1,1
5758,2993,23,1189,28,1074,0,69,0,0,46,1,10,4,13,6,0,0,65169.0,1,1
8746,2912,28,1188,19,800,0,297,0,34,57,2,2,5,10,6,1,0,75433.0,1,1
11056,3437,18,1188,18,546,91,410,119,0,22,1,3,4,10,1,0,0,72099.0,1,1
9707,3410,65,1182,20,1103,0,45,0,0,34,3,4,2,11,8,0,1,55212.0,1,1
10872,3410,65,1182,20,1103,0,45,0,0,34,3,4,2,11,8,0,1,55212.0,1,1
701,3062,58,1179,18,707,21,250,85,43,73,2,6,2,8,2,0,1,73691.0,1,1
4491,3463,3,1178,28,1099,0,45,0,0,34,11,3,4,10,8,1,1,62845.0,1,1
873,3463,3,1178,28,1099,0,45,0,0,34,11,3,4,10,8,1,1,62845.0,1,1
7861,2971,23,1175,19,820,57,242,45,0,11,2,8,3,6,4,0,1,77027.0,1,1
9799,3244,57,1173,19,866,21,151,28,21,86,3,2,2,12,5,1,1,83664.0,1,1
10676,3431,3,1173,20,145,193,459,205,26,145,2,3,8,7,2,0,0,63211.0,1,1
5909,3110,25,1171,20,895,10,101,13,0,152,5,3,4,8,8,0,1,58512.0,1,1
10652,2997,48,1169,17,240,67,500,199,0,163,3,3,5,6,2,0,0,65487.0,1,1
4369,2997,48,1169,17,240,67,500,199,0,163,3,3,5,6,2,0,0,65487.0,1,1
2004,3111,65,1168,17,619,54,260,127,54,54,1,4,7,5,1,0,1,72679.0,1,1
9930,3063,8,1167,28,606,148,228,15,148,22,1,6,8,13,2,0,0,82716.0,1,1
8584,3213,54,1165,17,376,53,462,168,53,53,1,2,7,7,0,0,0,85431.0,1,1
6606,3282,11,1161,19,964,34,137,15,0,11,2,5,2,10,8,1,0,70091.0,1,1
10530,3031,0,1156,16,431,82,441,80,20,102,1,3,6,6,1,0,0,67786.0,1,1
3619,3471,19,1152,17,345,25,501,63,138,80,1,5,3,8,2,0,0,87305.0,1,1
9495,3244,29,1149,17,358,108,413,141,97,32,1,2,8,6,1,0,0,71853.0,1,1
2631,3244,29,1149,17,358,108,413,141,97,32,1,2,8,6,1,0,0,71853.0,1,1
1092,3514,17,1147,20,269,129,495,182,43,29,4,9,3,4,7,0,1,61014.0,1,1
269,3417,71,1143,21,777,30,163,0,51,122,6,4,4,7,9,0,1,46757.0,1,1
6652,2847,28,1134,17,227,151,573,98,54,31,1,3,4,9,1,0,0,77343.0,1,1
6428,2884,37,1130,17,605,10,345,84,54,32,1,1,8,7,0,0,0,76842.0,1,1
10037,2883,66,1127,16,375,152,335,93,91,81,1,5,4,6,2,0,0,74293.0,1,1
2669,2883,66,1127,16,375,152,335,93,91,81,1,5,4,6,2,0,0,74293.0,1,1
4002,3086,3,1123,27,463,96,333,168,53,10,1,7,7,12,3,0,1,77037.0,1,1
9370,3235,68,1120,16,562,81,276,80,40,81,1,6,3,6,4,0,0,65846.0,1,1
6637,3066,46,1117,15,277,162,305,173,76,124,1,3,4,7,1,0,0,66951.0,1,1
25,3417,9,1115,21,460,35,422,33,12,153,2,6,6,7,4,0,1,65148.0,1,1
5303,2909,42,1113,20,471,0,510,99,21,12,1,6,4,9,2,0,0,79632.0,1,1
10089,3277,5,1112,29,168,148,444,32,172,148,1,6,9,13,2,0,0,102692.0,1,1
8091,3492,50,1106,17,423,184,368,13,97,21,1,6,4,6,5,0,1,63943.0,1,1
9952,3027,53,1105,17,368,32,639,13,43,10,1,4,7,5,1,0,0,78093.0,1,1
1524,3312,1,1104,16,709,45,115,30,160,45,1,8,2,5,5,0,0,81698.0,1,1
709,3394,27,1103,18,787,20,204,0,0,92,3,2,2,11,8,0,1,51537.0,1,1
3571,3448,48,1101,19,918,21,118,13,10,21,3,8,3,5,6,0,1,63342.0,1,1
6521,2930,18,1101,20,613,22,319,33,102,12,1,4,6,9,1,0,0,77972.0,1,1
309,3448,48,1101,19,918,21,118,13,10,21,3,8,3,5,6,0,1,63342.0,1,1
5682,3290,8,1099,30,948,10,86,13,21,21,4,6,9,11,5,0,1,64108.0,1,1
2410,2985,69,1097,16,364,40,425,158,60,50,1,3,4,8,1,0,0,81657.0,1,1
8908,2879,35,1097,20,217,76,690,50,26,38,1,3,11,5,1,0,0,87195.0,1,1
10383,3280,30,1093,21,295,35,482,121,120,40,1,5,5,10,3,0,0,70287.0,1,1
9888,2831,3,1091,16,458,81,356,106,50,40,1,4,4,7,2,0,0,68695.0,1,1
4399,2831,3,1091,16,458,81,356,106,50,40,1,4,4,7,2,0,0,68695.0,1,1
10413,2892,67,1089,23,274,83,216,151,141,224,1,4,6,12,1,0,0,72570.0,0,1
1079,3448,59,1086,19,1000,0,76,0,0,10,3,3,4,9,8,0,1,71969.0,1,1
2995,3143,64,1084,17,291,10,689,84,10,0,1,3,4,9,1,0,0,66636.0,1,1
4137,3032,29,1076,16,398,40,367,119,122,30,1,7,4,4,4,0,0,70666.0,1,1
796,3441,17,1071,26,584,44,212,46,8,177,3,11,4,8,8,0,1,60161.0,1,1
5332,3164,2,1066,17,362,50,431,134,35,54,1,3,6,7,1,0,0,82504.0,1,1
6931,2961,19,1062,16,464,151,292,65,60,30,1,8,3,4,4,0,0,76982.0,1,1
1031,3247,5,1062,26,600,20,350,29,30,33,1,6,9,10,2,0,0,85710.0,1,1
11084,3054,4,1053,17,738,0,232,13,20,50,2,3,5,7,7,0,1,65104.0,1,1
5172,3054,4,1053,17,738,0,232,13,20,50,2,3,5,7,7,0,1,65104.0,1,1
